hhid,num_inds,children_ind,hh_income_ind,age_ind,home_value_ind,state,total_amount_before_campaign,total_amount_during_campaign,total_transactions
52682,15,2+,51 to 100,50-59,noValue,ME,2.77,2.3,2
52694,8,2+,0 to 50,65+,101 to 200,TX,2.46,0.48,3
52696,14,2+,noValue,60-64,noValue,CA,4.07,5.64,4
52701,5,1,51 to 100,noValue,noValue,NY,0.0,8.58,3
52706,6,2+,0 to 50,30-39,noValue,AL,5.5,4.62,3
52707,5,1,51 to 100,noValue,noValue,GA,7.05,0.0,2
52708,8,0,51 to 100,noValue,noValue,NY,2.98,2.38,3
52712,15,2+,101 to 150,30-39,noValue,PA,2.69,0.0,3
52713,12,0,0 to 50,noValue,noValue,AL,13.57,0.58,4
52726,10,0,0 to 50,50-59,101 to 200,AL,3.32,7.59,3
52736,12,0,0 to 50,60-64,noValue,LA,2.25,7.71,2
52748,6,2+,51 to 100,40-49,noValue,DE,2.56,3.63,4
52751,6,2+,51 to 100,40-49,101 to 200,GA,2.65,3.34,2
52761,27,2+,0 to 50,30-39,201 to 500,NJ,9.79,3.85,5
52762,8,2+,0 to 50,30-39,noValue,MI,5.8,1.58,6
52766,9,0,0 to 50,noValue,noValue,PA,14.62,12.54,6
52768,17,0,101 to 150,noValue,101 to 200,NY,3.76,2.85,3
52770,8,2+,51 to 100,50-59,noValue,CA,18.56,0.0,6
52772,25,2+,0 to 50,noValue,noValue,CT,6.34,0.81,5
52773,22,0,0 to 50,noValue,noValue,CA,6.58,3.8,6
52776,22,2+,51 to 100,30-39,noValue,AL,9.13,13.06,9
52777,9,0,0 to 50,65+,noValue,FL,6.49,4.7,4
52780,11,0,0 to 50,30-39,noValue,GA,8.13,0.24,3
52782,10,2+,101 to 150,noValue,201 to 500,NC,4.73,1.22,4
52785,11,2+,51 to 100,50-59,noValue,NC,20.37,3.45,8
52788,20,0,0 to 50,noValue,noValue,SC,2.93,3.24,3
52790,18,2+,0 to 50,60-64,0 to 100,MS,10.83,5.39,5
52792,12,0,noValue,20-29,noValue,NY,40.88,0.94,11
52793,20,0,0 to 50,65+,noValue,FL,7.27,5.31,5
52795,13,2+,51 to 100,40-49,noValue,AL,0.0,0.0,2
52801,24,2+,51 to 100,50-59,noValue,PA,4.46,8.73,5
52805,10,2+,51 to 100,noValue,noValue,NY,6.13,4.2,3
52808,15,2+,0 to 50,noValue,noValue,NC,4.31,5.24,3
52813,24,2+,51 to 100,noValue,501+,FL,3.54,1.91,3
52816,6,0,0 to 50,20-29,noValue,FL,7.56,3.75,5
52819,10,0,51 to 100,noValue,noValue,FL,1.38,8.03,5
52822,28,0,51 to 100,40-49,noValue,NY,18.01,2.13,8
52831,7,2+,0 to 50,noValue,0 to 100,AR,4.8,5.75,3
52834,14,0,0 to 50,noValue,noValue,MI,6.25,3.15,4
52855,14,2+,51 to 100,noValue,101 to 200,OR,19.62,3.51,10
52864,7,2+,51 to 100,30-39,noValue,VA,9.69,18.08,7
52867,20,2+,0 to 50,50-59,noValue,RI,4.43,0.94,2
52877,12,0,101 to 150,40-49,noValue,FL,7.09,1.03,4
52880,8,0,51 to 100,20-29,101 to 200,PA,23.55,4.34,8
52881,6,2+,51 to 100,noValue,noValue,NJ,17.38,3.51,5
52886,4,0,0 to 50,60-64,noValue,MI,1.49,2.03,2
52887,10,2+,51 to 100,40-49,101 to 200,OH,1.85,0.06,3
52894,3,0,51 to 100,20-29,0 to 100,SC,5.82,8.99,6
52902,10,0,0 to 50,noValue,noValue,SC,1.45,4.07,4
52904,3,1,0 to 50,20-29,noValue,PA,3.43,4.06,3
52907,17,2+,51 to 100,40-49,noValue,MD,3.93,7.5,2
52910,15,2+,51 to 100,40-49,noValue,CA,12.87,1.19,6
52911,6,0,0 to 50,50-59,noValue,TX,2.27,2.27,3
52912,6,0,51 to 100,noValue,noValue,ME,3.96,0.0,5
52930,20,0,51 to 100,40-49,201 to 500,FL,1.72,2.21,2
52932,9,2+,51 to 100,30-39,noValue,PA,7.02,1.12,3
52936,9,0,51 to 100,20-29,noValue,NY,13.08,4.31,6
52939,15,2+,101 to 150,40-49,noValue,FL,0.0,4.66,2
52940,6,1,51 to 100,noValue,101 to 200,WA,6.02,1.72,3
52946,5,2+,51 to 100,noValue,noValue,NC,3.97,7.8,4
52949,12,2+,51 to 100,noValue,noValue,NY,15.97,9.86,10
52951,11,1,51 to 100,50-59,noValue,NH,12.84,7.85,6
52957,15,1,0 to 50,50-59,501+,NY,0.0,7.35,2
52963,13,1,0 to 50,noValue,noValue,MS,4.88,9.05,3
52966,8,2+,101 to 150,40-49,0 to 100,TX,6.75,0.0,3
52968,8,0,51 to 100,noValue,201 to 500,MD,11.54,1.98,5
52971,10,2+,0 to 50,noValue,101 to 200,NC,11.33,17.62,8
52979,25,0,151+,50-59,501+,FL,0.33,5.93,2
52987,11,2+,51 to 100,50-59,201 to 500,CA,14.27,3.01,5
52991,7,2+,51 to 100,30-39,noValue,LA,6.32,7.46,4
53004,11,2+,101 to 150,65+,noValue,MD,19.13,0.0,6
53005,14,2+,101 to 150,50-59,101 to 200,NY,19.48,0.0,6
53008,7,2+,0 to 50,20-29,noValue,NY,7.84,2.02,4
53011,10,0,51 to 100,noValue,noValue,FL,1.41,0.0,3
53023,9,2+,noValue,40-49,noValue,PA,2.06,9.33,4
53028,7,2+,51 to 100,noValue,noValue,NY,3.48,7.65,4
53037,13,0,101 to 150,50-59,noValue,MD,3.51,0.81,2
53040,24,2+,101 to 150,65+,noValue,MI,5.08,4.99,2
53042,13,0,51 to 100,noValue,noValue,MI,2.02,0.44,3
53044,10,0,51 to 100,noValue,noValue,FL,11.93,5.79,4
53049,9,0,51 to 100,noValue,0 to 100,FL,9.84,7.23,7
53051,17,0,51 to 100,65+,101 to 200,GA,13.49,3.15,5
53057,6,2+,51 to 100,20-29,noValue,ME,2.04,4.39,2
53061,14,2+,noValue,noValue,noValue,MI,0.0,0.06,2
53068,15,0,51 to 100,40-49,noValue,PA,2.27,9.26,2
53069,6,0,0 to 50,65+,noValue,FL,0.0,1.04,4
53072,13,2+,51 to 100,noValue,noValue,NC,24.94,8.36,8
53073,13,2+,51 to 100,40-49,noValue,PA,0.0,0.0,2
53075,12,1,noValue,20-29,noValue,MA,5.55,3.19,2
53079,3,2+,noValue,noValue,noValue,PA,6.05,0.52,5
53081,15,0,0 to 50,50-59,201 to 500,WA,3.91,2.77,2
53082,23,0,0 to 50,noValue,noValue,FL,5.86,0.0,3
53089,4,0,0 to 50,noValue,noValue,SC,8.9,10.35,5
53090,10,2+,0 to 50,noValue,noValue,KY,3.63,0.0,2
53092,7,2+,0 to 50,40-49,noValue,NJ,0.0,0.0,3
53095,10,2+,101 to 150,40-49,101 to 200,MI,2.79,1.91,3
53096,10,1,51 to 100,30-39,101 to 200,MD,6.63,3.84,4
53097,6,0,0 to 50,20-29,noValue,PA,0.13,1.11,2
53103,13,2+,51 to 100,20-29,101 to 200,GA,4.05,3.37,3
53106,9,1,51 to 100,40-49,noValue,FL,13.62,7.41,7
53108,4,2+,101 to 150,40-49,101 to 200,OH,15.01,3.24,7
53115,8,0,101 to 150,noValue,noValue,CA,13.3,6.95,7
53117,8,0,51 to 100,40-49,101 to 200,FL,11.31,4.64,5
53122,6,2+,51 to 100,40-49,0 to 100,WV,1.76,1.42,3
53124,6,1,0 to 50,65+,noValue,SC,11.07,3.82,4
53126,25,2+,0 to 50,65+,101 to 200,GA,6.27,0.0,3
53132,14,2+,51 to 100,50-59,noValue,OH,7.07,4.03,3
53134,7,2+,0 to 50,50-59,noValue,PA,6.49,11.75,5
53138,11,1,0 to 50,50-59,0 to 100,TX,1.85,1.29,3
53149,5,0,0 to 50,noValue,noValue,FL,6.88,5.6,3
53150,17,1,101 to 150,50-59,noValue,MA,0.0,4.76,3
53151,8,2+,0 to 50,50-59,101 to 200,PA,14.58,3.58,6
53154,8,0,noValue,50-59,noValue,SC,6.99,2.36,3
53159,4,2+,0 to 50,65+,101 to 200,NY,6.92,2.8,4
53162,11,2+,0 to 50,30-39,noValue,CA,18.55,1.63,5
53163,13,0,0 to 50,65+,noValue,NC,7.18,3.85,7
53167,7,1,51 to 100,65+,noValue,MI,2.79,1.51,3
53169,12,1,51 to 100,65+,noValue,NH,12.87,3.93,5
53171,16,1,0 to 50,noValue,0 to 100,AR,0.15,2.02,2
53173,5,0,0 to 50,65+,noValue,CA,10.7,6.07,4
53181,6,2+,51 to 100,40-49,noValue,SC,24.57,2.92,8
53183,19,1,0 to 50,20-29,0 to 100,AL,0.79,2.44,2
53186,18,2+,0 to 50,noValue,noValue,PA,5.19,0.0,2
53189,10,2+,51 to 100,noValue,noValue,VT,6.26,0.0,3
53193,21,2+,51 to 100,noValue,noValue,PA,12.24,6.57,5
53194,4,2+,0 to 50,noValue,noValue,NM,0.0,2.27,2
53198,13,0,51 to 100,65+,201 to 500,PA,31.01,0.04,7
53199,7,2+,51 to 100,noValue,noValue,AR,3.87,7.26,5
53204,10,2+,51 to 100,40-49,101 to 200,PA,1.41,4.38,2
53210,14,0,0 to 50,noValue,201 to 500,MA,16.72,6.24,4
53212,19,2+,51 to 100,40-49,noValue,NY,9.98,4.61,5
53215,10,2+,51 to 100,40-49,noValue,SC,4.22,0.0,3
53216,8,0,51 to 100,20-29,noValue,AZ,4.3,3.16,4
53221,5,0,0 to 50,50-59,101 to 200,NC,3.85,0.0,4
53226,15,2+,0 to 50,65+,noValue,FL,9.81,9.61,5
53243,16,0,noValue,65+,noValue,MI,2.48,1.88,3
53244,14,2+,0 to 50,30-39,0 to 100,GA,0.35,4.01,5
53247,9,0,101 to 150,40-49,noValue,CA,4.69,0.84,2
53256,10,0,0 to 50,20-29,0 to 100,IN,16.13,3.73,8
53257,10,0,0 to 50,noValue,noValue,NJ,10.9,1.0,5
53262,19,1,0 to 50,50-59,noValue,MA,11.46,4.54,6
53265,14,1,51 to 100,noValue,noValue,PA,9.62,0.67,5
53267,16,0,51 to 100,50-59,noValue,GA,17.97,12.65,6
53269,12,1,51 to 100,20-29,101 to 200,VT,3.31,1.56,4
53271,22,2+,51 to 100,40-49,noValue,FL,2.33,2.5,2
53273,12,0,51 to 100,noValue,noValue,MD,1.23,3.75,2
53274,29,1,51 to 100,50-59,noValue,MA,1.79,7.7,3
53275,15,2+,0 to 50,noValue,noValue,CA,5.82,3.64,4
53281,9,2+,51 to 100,noValue,noValue,AL,24.92,5.44,10
53294,11,0,0 to 50,40-49,noValue,NJ,4.44,0.0,4
53296,27,0,101 to 150,50-59,noValue,FL,10.02,3.43,5
53299,10,2+,noValue,30-39,101 to 200,PA,4.76,3.51,4
53303,20,0,0 to 50,30-39,noValue,CT,0.26,10.74,4
53308,4,2+,0 to 50,30-39,101 to 200,MI,2.02,5.31,2
53322,30,0,0 to 50,50-59,noValue,NY,3.83,3.91,5
53328,18,0,51 to 100,noValue,0 to 100,FL,4.83,4.35,3
53335,9,0,0 to 50,40-49,noValue,WV,0.0,1.39,4
53337,27,0,51 to 100,noValue,501+,NY,2.38,3.77,3
53339,14,2+,51 to 100,noValue,101 to 200,FL,13.35,5.0,7
53340,17,0,0 to 50,30-39,noValue,NY,2.11,5.38,3
53341,16,0,0 to 50,noValue,noValue,WI,4.32,5.05,2
53342,21,0,0 to 50,30-39,101 to 200,MI,2.25,2.38,2
53345,25,2+,51 to 100,20-29,noValue,NJ,11.65,3.0,4
53350,6,0,0 to 50,40-49,101 to 200,SC,11.53,2.79,3
53355,9,2+,noValue,noValue,noValue,OH,0.79,0.86,3
53357,13,0,noValue,noValue,201 to 500,CA,14.26,2.17,6
53364,8,0,51 to 100,60-64,noValue,NJ,6.32,2.07,3
53366,14,0,0 to 50,40-49,noValue,FL,10.21,0.0,4
53372,16,2+,101 to 150,40-49,noValue,MA,20.98,0.0,6
53378,9,2+,0 to 50,noValue,noValue,MI,8.88,2.14,5
53380,7,0,101 to 150,60-64,noValue,IN,17.59,12.95,11
53381,22,2+,0 to 50,40-49,101 to 200,CT,2.72,4.31,2
53385,21,2+,0 to 50,50-59,noValue,LA,8.2,3.8,5
53388,15,1,101 to 150,noValue,501+,CA,2.42,4.84,3
53389,9,2+,0 to 50,30-39,0 to 100,MI,3.82,5.96,2
53396,10,1,51 to 100,50-59,noValue,DE,4.94,6.63,4
53398,18,0,0 to 50,50-59,noValue,NJ,6.27,5.98,4
53400,7,2+,51 to 100,40-49,noValue,CA,2.34,0.79,6
53402,23,2+,101 to 150,noValue,201 to 500,PA,2.39,2.69,4
53403,17,0,51 to 100,65+,noValue,CT,9.51,2.35,4
53409,10,0,0 to 50,noValue,noValue,AR,8.33,11.12,6
53413,11,0,0 to 50,30-39,noValue,VA,11.54,6.93,4
53419,11,1,0 to 50,noValue,101 to 200,MD,8.51,1.67,4
53422,15,0,51 to 100,60-64,101 to 200,TN,9.38,8.07,6
53425,5,0,51 to 100,20-29,noValue,NY,10.4,1.34,5
53428,14,0,51 to 100,40-49,noValue,NY,8.61,4.06,6
53431,15,0,noValue,50-59,noValue,FL,8.68,0.45,3
53433,8,2+,51 to 100,20-29,noValue,GA,1.66,7.8,4
53447,21,1,noValue,40-49,noValue,MI,1.71,4.85,5
53449,18,0,51 to 100,65+,noValue,CA,6.08,5.17,4
53450,5,2+,noValue,30-39,noValue,SC,3.73,6.12,2
53451,10,1,noValue,40-49,noValue,CA,8.51,1.97,3
53454,11,1,0 to 50,50-59,0 to 100,NY,1.6,3.97,3
53457,10,1,0 to 50,noValue,0 to 100,PA,0.24,5.28,4
53463,15,1,0 to 50,50-59,noValue,FL,0.0,10.74,4
53474,5,2+,0 to 50,noValue,noValue,PA,19.49,4.24,8
53488,17,0,0 to 50,noValue,noValue,NY,4.4,0.03,2
53492,13,0,noValue,noValue,noValue,AZ,25.61,0.0,9
53497,24,0,51 to 100,30-39,noValue,CA,8.31,5.21,5
53498,16,1,0 to 50,noValue,noValue,FL,1.04,3.7,2
53499,19,2+,101 to 150,40-49,noValue,NY,9.99,4.26,3
53504,7,2+,51 to 100,40-49,noValue,NJ,4.09,3.73,3
53513,14,2+,51 to 100,30-39,noValue,NY,8.17,0.42,3
53515,5,1,0 to 50,noValue,0 to 100,TX,0.33,3.3,2
53517,22,2+,51 to 100,50-59,noValue,CA,4.0,3.35,3
53521,11,0,0 to 50,noValue,noValue,FL,9.54,2.26,5
53534,13,2+,51 to 100,30-39,noValue,OH,5.09,7.05,3
53544,23,2+,0 to 50,40-49,noValue,GA,9.97,3.04,3
53546,5,1,51 to 100,noValue,noValue,SC,9.11,8.51,5
53549,9,0,noValue,50-59,noValue,TX,12.76,2.69,4
53553,12,0,0 to 50,20-29,201 to 500,NY,17.38,7.75,6
53555,2,0,0 to 50,noValue,noValue,PA,4.13,1.61,2
53558,13,0,noValue,noValue,noValue,CA,3.42,5.99,2
53563,25,2+,noValue,40-49,noValue,OR,10.72,4.28,6
53566,8,0,51 to 100,20-29,noValue,NY,7.92,5.67,7
53570,13,2+,51 to 100,20-29,201 to 500,NJ,7.48,0.0,4
53572,5,1,0 to 50,50-59,noValue,AL,4.54,9.62,4
53575,12,2+,0 to 50,40-49,noValue,NY,2.99,5.66,4
53577,22,2+,0 to 50,30-39,noValue,NJ,12.18,2.26,4
53583,16,0,51 to 100,50-59,noValue,CA,27.66,2.25,11
53586,5,1,0 to 50,40-49,noValue,NY,1.51,3.29,2
53596,7,0,0 to 50,50-59,noValue,PA,3.76,0.14,2
53600,12,0,0 to 50,40-49,noValue,FL,4.55,7.38,3
53601,14,0,0 to 50,noValue,101 to 200,TN,0.9,5.66,2
53615,15,2+,0 to 50,noValue,noValue,MA,1.24,2.62,6
53619,8,0,0 to 50,20-29,noValue,CA,1.43,0.0,2
53621,16,2+,101 to 150,40-49,noValue,VA,9.54,4.75,2
53649,11,2+,51 to 100,noValue,noValue,TX,9.24,0.0,3
53659,13,0,0 to 50,30-39,0 to 100,NY,1.23,3.71,4
53660,13,0,0 to 50,50-59,201 to 500,FL,1.13,10.19,4
53667,30,0,0 to 50,noValue,noValue,FL,3.76,4.3,4
53675,15,0,51 to 100,50-59,noValue,FL,5.06,4.52,3
53686,10,0,101 to 150,noValue,201 to 500,NC,2.19,4.55,2
53687,5,2+,0 to 50,50-59,101 to 200,WV,9.21,4.55,8
53690,18,0,0 to 50,noValue,noValue,CA,3.25,5.84,4
53692,7,2+,101 to 150,noValue,noValue,MI,5.17,1.29,2
53695,13,2+,101 to 150,40-49,noValue,MA,6.73,2.31,2
53697,18,0,51 to 100,noValue,noValue,FL,3.05,7.21,3
53701,8,0,101 to 150,60-64,noValue,FL,5.08,2.15,4
53702,7,1,noValue,50-59,noValue,FL,7.8,2.54,4
53710,13,1,101 to 150,50-59,noValue,MD,3.57,3.68,3
53712,19,0,0 to 50,noValue,noValue,NJ,3.97,4.68,3
53714,8,1,51 to 100,noValue,201 to 500,NJ,2.07,2.8,2
53716,5,2+,0 to 50,30-39,noValue,OH,11.25,4.29,6
53727,24,1,51 to 100,noValue,501+,NY,14.85,6.04,4
53729,8,0,0 to 50,noValue,noValue,OH,2.23,4.81,4
53730,12,0,0 to 50,20-29,noValue,NY,8.78,1.48,4
53735,8,2+,noValue,60-64,101 to 200,NY,8.6,0.39,3
53736,13,0,0 to 50,noValue,101 to 200,OH,6.02,2.15,6
53738,9,2+,151+,60-64,noValue,AZ,4.65,2.15,3
53742,13,0,151+,noValue,noValue,NY,14.01,5.23,6
53743,16,0,0 to 50,50-59,101 to 200,PA,3.48,0.0,3
53754,17,1,51 to 100,noValue,0 to 100,PA,6.37,5.14,5
53756,13,2+,51 to 100,50-59,noValue,VA,8.75,13.18,6
53760,16,1,51 to 100,50-59,noValue,DC,11.68,0.0,4
53761,15,2+,0 to 50,50-59,101 to 200,TN,13.13,3.89,6
53771,17,0,51 to 100,noValue,noValue,FL,4.03,5.25,4
53774,13,0,0 to 50,noValue,noValue,FL,10.15,3.24,4
53775,9,0,0 to 50,20-29,0 to 100,MI,3.06,1.66,2
53776,4,0,0 to 50,50-59,noValue,NC,8.77,5.42,3
53783,18,0,51 to 100,noValue,noValue,CA,14.54,7.8,8
53791,5,2+,151+,30-39,noValue,LA,4.93,0.0,3
53793,7,2+,51 to 100,40-49,noValue,NC,4.75,2.71,6
53805,11,2+,51 to 100,40-49,noValue,FL,2.31,0.5,3
53811,18,2+,51 to 100,noValue,noValue,OR,6.17,6.33,6
53813,11,1,51 to 100,30-39,noValue,NJ,1.58,6.58,3
53817,10,0,0 to 50,noValue,noValue,GA,6.53,4.24,3
53822,5,0,0 to 50,noValue,noValue,MD,9.19,3.46,5
53824,10,2+,0 to 50,noValue,101 to 200,NY,13.57,7.32,6
53825,4,0,101 to 150,20-29,noValue,NC,4.28,3.04,4
53830,21,0,0 to 50,65+,201 to 500,IL,6.73,4.17,5
53831,7,2+,0 to 50,50-59,101 to 200,MS,12.25,4.53,8
53833,22,0,noValue,50-59,201 to 500,FL,6.07,6.48,4
53838,3,0,0 to 50,50-59,noValue,LA,8.79,1.15,3
53840,12,2+,0 to 50,50-59,noValue,PA,11.89,0.76,4
53842,20,0,0 to 50,50-59,noValue,CA,0.0,1.17,2
53846,12,0,0 to 50,20-29,noValue,AL,2.5,0.0,4
53847,12,0,0 to 50,noValue,noValue,SC,2.62,1.25,4
53848,30,1,0 to 50,40-49,noValue,NJ,16.15,5.37,10
53854,12,1,0 to 50,noValue,101 to 200,ME,0.68,0.0,2
53856,4,2+,0 to 50,30-39,noValue,OR,6.19,10.31,5
53857,14,2+,51 to 100,30-39,noValue,GA,17.47,3.1,5
53874,8,0,51 to 100,noValue,noValue,GA,18.2,1.05,5
53878,7,0,0 to 50,40-49,noValue,NC,8.64,0.47,4
53881,16,2+,51 to 100,50-59,noValue,MI,12.64,8.58,7
53882,9,2+,0 to 50,noValue,noValue,NY,0.0,3.74,2
53883,8,1,51 to 100,20-29,noValue,WV,14.03,1.55,5
53885,10,1,51 to 100,60-64,noValue,GA,7.9,4.13,5
53886,17,0,51 to 100,60-64,noValue,NY,4.31,4.15,3
53888,7,0,noValue,60-64,noValue,NC,3.46,1.38,2
53889,11,2+,151+,noValue,noValue,DE,0.0,5.49,2
53891,28,2+,0 to 50,65+,noValue,FL,5.11,5.2,3
53892,11,2+,0 to 50,30-39,noValue,NY,3.52,5.47,2
53893,20,2+,0 to 50,40-49,noValue,SC,4.66,7.14,3
53894,14,2+,0 to 50,30-39,noValue,NY,0.0,10.46,2
53895,8,0,0 to 50,noValue,noValue,NY,8.61,4.21,5
53898,20,2+,noValue,30-39,noValue,NY,6.37,4.17,2
53899,16,0,51 to 100,60-64,noValue,FL,3.6,0.0,4
53910,5,2+,noValue,40-49,noValue,NC,4.51,2.78,4
53915,8,0,0 to 50,20-29,noValue,FL,2.62,3.94,3
53916,8,0,51 to 100,20-29,noValue,NY,6.31,2.72,4
53917,3,2+,51 to 100,40-49,noValue,NC,5.35,2.23,5
53920,16,1,51 to 100,40-49,noValue,FL,4.94,6.1,4
53926,5,0,0 to 50,50-59,101 to 200,CA,15.04,0.91,4
53931,13,2+,0 to 50,noValue,noValue,VA,2.95,2.45,4
53940,8,2+,noValue,20-29,101 to 200,LA,2.9,0.15,4
53941,17,0,noValue,noValue,noValue,GA,20.05,1.64,7
53945,8,2+,51 to 100,40-49,noValue,NC,5.52,7.14,4
53952,12,2+,51 to 100,50-59,0 to 100,NY,11.41,2.68,4
53958,8,2+,51 to 100,50-59,noValue,NY,5.43,8.11,2
53961,13,2+,51 to 100,40-49,noValue,MT,7.97,4.9,5
53973,16,2+,0 to 50,noValue,noValue,NY,14.98,2.96,7
53980,2,2+,51 to 100,noValue,noValue,NC,5.78,4.11,2
53987,15,2+,51 to 100,20-29,101 to 200,LA,5.95,0.31,4
53989,12,0,noValue,noValue,noValue,FL,5.86,2.7,3
53992,6,2+,51 to 100,40-49,noValue,CA,11.33,2.8,4
53995,6,1,0 to 50,noValue,noValue,CA,12.93,7.07,6
53997,17,0,0 to 50,noValue,noValue,FL,5.81,0.52,2
54000,13,2+,51 to 100,20-29,0 to 100,FL,3.35,7.04,2
54001,9,0,0 to 50,noValue,101 to 200,VA,7.1,6.02,3
54002,16,2+,51 to 100,40-49,0 to 100,IN,4.42,3.02,2
54008,6,1,51 to 100,50-59,201 to 500,NH,6.16,5.37,5
54011,10,2+,51 to 100,50-59,noValue,NC,12.3,6.93,4
54012,10,1,0 to 50,20-29,noValue,CA,5.36,5.73,5
54013,12,2+,101 to 150,noValue,101 to 200,NJ,12.87,0.0,6
54017,8,0,0 to 50,50-59,noValue,CA,0.36,6.73,2
54027,11,0,0 to 50,50-59,101 to 200,CA,8.25,4.24,3
54030,21,2+,0 to 50,50-59,noValue,PA,13.82,4.19,5
54031,11,2+,0 to 50,noValue,201 to 500,CA,5.31,2.34,2
54035,22,2+,51 to 100,60-64,noValue,CA,0.47,0.22,3
54042,24,0,51 to 100,noValue,noValue,NJ,7.39,4.11,4
54043,8,2+,noValue,noValue,101 to 200,MI,4.79,5.13,3
54051,19,0,0 to 50,50-59,noValue,MA,4.87,1.73,2
54057,11,0,51 to 100,65+,201 to 500,FL,17.92,0.0,6
54059,6,0,51 to 100,20-29,noValue,KY,7.0,2.85,5
54061,7,0,0 to 50,50-59,201 to 500,CA,0.07,5.43,3
54063,13,0,51 to 100,noValue,101 to 200,GA,2.86,2.71,3
54064,12,1,51 to 100,30-39,noValue,NJ,0.82,6.5,4
54065,6,0,51 to 100,noValue,201 to 500,PA,9.97,0.0,3
54069,10,0,0 to 50,40-49,201 to 500,MD,3.53,5.73,3
54072,3,2+,51 to 100,30-39,noValue,NC,8.02,2.12,4
54073,19,2+,0 to 50,40-49,noValue,PA,1.56,3.76,2
54088,15,2+,151+,noValue,201 to 500,MI,2.16,1.81,2
54101,11,0,51 to 100,30-39,noValue,FL,2.36,4.17,4
54105,22,0,51 to 100,50-59,noValue,NY,8.33,3.8,6
54106,5,2+,noValue,20-29,101 to 200,TN,3.82,1.61,3
54117,11,0,0 to 50,65+,noValue,KY,13.98,1.13,6
54120,7,2+,0 to 50,40-49,noValue,OH,23.68,13.5,10
54129,19,2+,0 to 50,65+,noValue,AL,14.84,11.97,8
54138,13,1,51 to 100,50-59,101 to 200,OH,4.23,5.64,2
54143,4,0,0 to 50,30-39,noValue,NC,0.82,4.32,6
54158,5,2+,0 to 50,30-39,noValue,LA,0.11,6.31,2
54161,10,1,0 to 50,20-29,noValue,MI,6.03,3.24,3
54167,10,2+,51 to 100,noValue,noValue,NJ,8.3,3.14,6
54169,11,2+,0 to 50,60-64,noValue,OH,3.12,10.22,5
54171,7,2+,0 to 50,30-39,noValue,PA,8.45,7.15,5
54185,20,2+,0 to 50,40-49,0 to 100,OH,0.0,0.0,2
54190,5,0,51 to 100,20-29,noValue,NC,3.22,4.57,3
54191,7,1,0 to 50,20-29,noValue,CA,8.8,0.64,6
54194,10,2+,51 to 100,noValue,noValue,PA,1.77,3.8,4
54197,15,0,0 to 50,20-29,noValue,CA,5.44,7.49,4
54208,2,0,51 to 100,noValue,noValue,SC,8.36,4.95,5
54209,13,2+,101 to 150,noValue,101 to 200,OH,4.3,1.84,2
54213,13,2+,101 to 150,30-39,201 to 500,NC,1.11,2.72,2
54221,10,0,51 to 100,60-64,noValue,GA,4.22,1.52,2
54222,13,1,51 to 100,50-59,101 to 200,LA,7.65,5.73,6
54224,7,2+,51 to 100,30-39,noValue,MI,6.71,4.78,4
54228,18,0,51 to 100,50-59,noValue,NY,5.44,4.94,4
54229,9,2+,151+,noValue,101 to 200,MI,3.34,7.11,6
54233,15,1,0 to 50,30-39,noValue,CA,11.88,6.49,4
54234,12,0,51 to 100,20-29,101 to 200,PA,4.6,4.62,4
54235,11,0,51 to 100,noValue,noValue,RI,3.19,6.17,7
54246,14,2+,51 to 100,noValue,101 to 200,LA,1.96,3.04,2
54249,9,0,101 to 150,noValue,noValue,CT,9.71,4.44,8
54251,9,1,0 to 50,50-59,0 to 100,OH,3.97,6.36,4
54252,13,2+,51 to 100,65+,noValue,SC,5.99,3.09,3
54253,15,0,51 to 100,40-49,noValue,NY,8.37,8.85,7
54254,9,0,0 to 50,noValue,noValue,CA,14.49,16.84,9
54255,3,2+,51 to 100,40-49,noValue,NC,0.6,1.92,3
54259,14,2+,51 to 100,50-59,noValue,LA,12.98,4.19,5
54261,13,2+,0 to 50,noValue,noValue,CA,3.83,5.38,3
54262,11,0,0 to 50,noValue,noValue,IN,2.91,2.75,3
54272,21,0,0 to 50,50-59,noValue,CA,3.02,1.92,2
54285,16,0,51 to 100,30-39,noValue,FL,18.86,2.32,8
54290,21,2+,51 to 100,30-39,noValue,FL,15.9,4.68,10
54295,10,2+,noValue,60-64,0 to 100,OH,8.37,0.41,5
54296,11,2+,51 to 100,40-49,noValue,PA,13.08,3.2,6
54298,5,0,0 to 50,65+,201 to 500,CA,0.0,1.38,3
54305,4,1,51 to 100,40-49,101 to 200,FL,2.95,3.63,3
54307,22,2+,51 to 100,40-49,101 to 200,NC,0.86,7.63,5
54308,9,0,noValue,noValue,101 to 200,FL,4.55,0.0,4
54311,15,1,0 to 50,20-29,201 to 500,NJ,4.91,4.71,2
54312,16,2+,51 to 100,40-49,201 to 500,PA,4.2,4.73,3
54314,7,2+,51 to 100,30-39,201 to 500,VA,8.36,0.0,4
54318,12,2+,51 to 100,50-59,201 to 500,NY,0.0,6.51,2
54320,11,0,51 to 100,50-59,noValue,DE,12.6,3.94,9
54327,7,1,0 to 50,noValue,noValue,FL,8.72,6.33,8
54329,17,0,51 to 100,noValue,noValue,FL,1.89,3.66,4
54337,14,1,51 to 100,50-59,noValue,CA,12.63,0.16,3
54349,12,1,0 to 50,60-64,noValue,NC,0.28,2.17,2
